Name,About Ecosystem,Apply Now,Contact,Created,Description,Discord,Ecosystem,Execution Layer,Grant Amount,Status,This grant is for,Twitter:,Website
1Inch,"1inch is an exchange aggregator that scans decentralized exchanges to find the lowest cryptocurrency prices for traders, and is powered by its 1INCH utility and governance token. 1INCH is used to furnish the platform's decentralized ""instant governance"" model, and facilitates liquidity mining through token staking.",https://airtable.com/shr899d3K9Bw963CP,,"June 10, 2022 1:46 PM","The 1inch Foundation grant program fosters growth and expansion of the 1inch Network and incentivizes contributions through grants and resources

Network development
• Product development
• Integration
• Interoperability
• Security

Community development
• Education
• Community building/events
• Social

Research & analytics
• Advanced data analytics
• Innovative research
• Simulation of protocol performance/ efficiency

The ProcessApplication submission

The Applicant will https://airtable.com/shr899d3K9Bw963CP to the 1inch Foundation, including as many details as possible about the proposed idea and their background.
Timeline for review: Within 2 weeks

Interview
If some application is selected, the 1inch Foundation will conduct 1-2 interviews to collect more information on the Applicant's background and the proposal.
Timeline: One interview per week

Evaluation of Grant Potential and Formal Grant Offer
The 1inch Foundation will determine if the Applicant’s proposal fits into one of the grant program categories (or vision for the network), and if so, what value can be assigned to the final product. A vesting schedule and timeline for product development reports will also be determined at this stage;If the 1inch Foundation determines that the proposal meets evaluation criteria, the 1inch Foundation will send the Applicant a Formal Grant Offer, including terms and conditions for grant distribution.
Timeline: Within 10 days of final interview

Onboarding
Once the Offer is accepted, the Applicant must complete the onboarding process. Once completed, the 1inch Foundation will provide access to resources and establish a communication schedule for reporting and development updates.
Timeline: Several days, pending Grantee’s time for document collection

Continued Performance Evaluation
The 1inch Foundation will periodically evaluate the success of the project, based on a predetermined schedule. With the uniqueness of every proposal, each evaluation will be specifically tailored to the project and include the following points of review:
• Progress of deliverables and milestone completion;
• Adequacy of provided resources and funds;
• Overall sustainability of the grantee’s project;
• Impact of the project on 1inch Network to date;
• Strategic impact of the project on 1inch Network in the near-to-mid-term future.",https://discord.com/invite/1inch,1inch,EVM,,Ongoing,"Community Building/Content Creation, DAOs, Dapps, Devs, Events/Hackathons, Infrastructure, Researchers, Universal Tools",https://twitter.com/1inch,https://1inch.io/foundation-grant-program/
Aave Grants DAO,"Aave is a decentralised non-custodial liquidity market protocol where users can participate as depositors or borrowers. Depositors provide liquidity to the market to earn a passive income, while borrowers are able to borrow in an overcollateralised (perpetually) or undercollateralised (one-block liquidity) fashion.",https://aavegrants.org/apply-for-a-grant,,"June 10, 2022 1:46 PM","Mission
To provide grants to projects, ideas, and events that benefit Aave and its ecosystem. 

Program details
Aave Grants DAO is a community-led grants program to fund ideas submitted by the Aave protocol’s community, with a focus on empowering a wider network of community developers. The community has allocated $1 million per quarter for two quarters for funding grants. The program will run from May 10 to November 10. The grants program was created after a community discussion, which can be found on Aave's governance forum https://governance.aave.com/t/arc-aave-community-grants-program/3642.

What's eligible for grant funding?
-Protocol development
-Applications and integrations
-Developer tooling
-Code audits
-Committees, sub-committees, and DAOs that serve the Aave ecosystem
-Community (marketing and educational)
-Events & hackathons
",,Aave,,,From May 10 - November 10,"Code Audits, Community Building/Content Creation, DAOs, Dapps, Devs, Events/Hackathons, Infrastructure, Universal Tools",,https://aavegrants.org/what-is-this-program
Algorand Foundation,Algorand uses a unique variation of Proof of Stake called Pure Proof of Stake (PPoS). PPoS is a highly democratized PoS consensus mechanism with a low minimum staking requirement for participating in and securing the network — only one ALGO coin is needed to participate.,https://algorandfoundation.submittable.com/submit/222728/supagrants-dev-tooling-suite,,"June 10, 2022 1:46 PM","Developer experience matters more than ever. In other words, developers expect a stellar experience when building blockchain applications at every stage of the Software Development Life Cycle (SDLC).

Therefore, the Algorand Foundation is leading an effort to develop a world-class open-source developer tooling suite. Such a suite includes IDE, static analysis, debugging, account management, automated testing (using the Algorand sandbox), a smart contract library, a block explorer for private blockchain development, tools to help with continuous integration and development. You can compare this developer tooling suite to the https://trufflesuite.com/ or https://hardhat.org/ for Ethereum development.

We expect the suite to integrate existing available tools and IDEs (such as sandbox, https://algobuilder.dev/, https://plugins.jetbrains.com/plugin/15300-algodea-algorand-integration, Algorand VS Code extension) as well as newly developed tools. In particular, teams are expected to collaborate with each other to ensure the resulting dev tooling suite is as integrated, user-friendly, and extensible as possible. The Algorand Foundation will play the role of moderators between the teams.

We are looking for teams of blockchain developers who have previous experience with smart contracts, as well as relevant expertise and experience. In particular, we expect teams developing auditing tools and static code analysis tools to include experts in programming languages and in static analysis.

Teams may develop one or multiple new open source tools (e.g., static analyzer) and/or help improving or extending existing tools (such as sandbox, the VS Code Algorand extension, or the AlgoSearch block explorer). They must ensure that their tools can be easily integrated with the other tools in a seamless as possible way. The Algorand Foundation will oversee all the projects and ensure the above.
Proposals for a full suite of open source tools for a specific purpose, such as web IDE à la Ethereum Remix, are also welcome. The Algorand Foundation strongly recommends that these proposals make best use of the existing tools whenever possible.

[PLEASE NOTE] Any applications unrelated to Dev Tooling will be automatically rejected!

All proposed tools must be open source (ideally MIT license) from the get-go and the development itself must take place on a public open source repo (such as a public github). The code must be of outstanding quality, have excellent documentation (both for users of the tools and for potential contributors), and more generally follow best practices (including but not limited to having good unit test coverage, having a proper CI/CD pipeline, and using sparingly external dependencies). In addition, teams should have a positive attitude towards external contributions (which in particular means having clear contributing guidelines)  and ideally should foster an open source community around the project.
The Algorand Foundation wants to create and maintain a strong long-term relationship with the successful teams and expects successful teams to continue maintaining their tools in the long term.

Application Process

We focus on the following aspects:
1. Quality and Completeness of the application - the more detail the better.

2. Structure and Feasibility: Is there a clear execution plan, detailed information about deliverables and milestones, and a reasonable development timeline, and does the applicant or team have what it takes to deliver.

3. Strategy and Innovation: Will the project bring value and benefits to the Algorand ecosystem; does it deliver something unique that will attract new users or is a proven success on other chains. Will your project make a considerable improvement to our existing knowledge or infrastructure.

Timeline
Week 1 - 3: Internal Review of Project Proposal
Week 3: Decision to Accept / Decline Shared
Week 4: Legal Review
Week 5: Formal Contract Signed
Week 6: Initial Payment 

This is a tentative project timeline and may be subject to delays as a result of high volume of applications or clarifications to the proposal etc.

Criteria For Approval

Prior to applying, we strongly advise you to read the https://prismic-io.s3.amazonaws.com/algorandfoundation/9c03c208-80cf-4c43-9dfc-3cfeeb9a8d70_ALGO+Grant+Program+-+Terms+and+Conditions+-11012020.pdf of the Grants Program. We recommend that the Grant amount requested is appropriate to the level of complexity and effort that you intend to deliver. 
Please bear in mind that the more detail you provide the better your chances are of getting funded. It is worth framing your proposal in terms of the benefit and value you will bring to our ecosystem. We look at your proposed milestones and deliverables as evaluation and award criteria so these should be as detailed as possible. 

During the evaluation process, a reviewer may reach out to you for clarification or in person discussion to discuss specific details such as timelines, deliverables, milestones or technical aspect of the application under review. 

Important: 
Decisions may include full funding, partial funding (possibly with a reduction in the proposal scope), or no funding. All decisions regarding grants, distribution dates and eligibility/qualification for grants are at the Algorand Foundation's sole and absolute discretion.",,Algorand,AVM,,Ongoing,"Devs, Infrastructure, Universal Tools",,https://algorand.foundation/grants-program
Arweave,"At its core, Arweave is a Decentralized Storage Network (DSN) that connects people who have extra available computer disk space with those who need more computer storage. Designed to provide scalable, cost-effective, and permanent data storage, Arweave is built on a blockchain-like data structure called the blockweave.",https://docs.google.com/forms/d/e/1FAIpQLSdvS-eyBhF3T15kyijCQkKvQbE52iMup0Q2aktfb5tUqnNHhQ/viewform,,"June 10, 2022 1:46 PM","Get funding to build on the permaweb
We regularly fund projects building on the Arweave network. Whether a decentralised application, an integration, or something else -- if you are using Arweave to build it, we want to support you!

Open Web Foundry
The https://owf.dev/ is a combination of incubator and accelerator programmes, specially tailored to support both brand new and experienced founders in building the new, decentralized web. The Foundry’s goal is to support the expansion of the permaweb ecosystem, helping founders and builders create, launch, and grow their profit sharing communities and permaweb apps.

Through the Foundry the Arweave core team invests in participating projects, primarily in exchange for projects’ https://arwiki.wiki/#/en/profit-sharing-tokens, and also offers extensive support for founders as they fundraise from external backers. Previous Foundry alumni have raised over $10mil for their permaweb projects following their participation in the programme.

Quit your job, and build the new web by registering for the Open Web Foundry today.",,Arweave,All,,Ongoing,"DAOs, Dapps, Devs, Universal Tools",,https://www.arweave.org/get-involved/investment-funding
"Aurora ","Aurora is an Ethereum Virtual Machine created by the team at the NEAR Protocol, delivering a turn-key solution for developers to operate their apps on an Ethereum-compatible, high-throughput, scalable and future-safe platform, with low transaction costs for their users.",https://airtable.com/shrm0FfqwJJ1D0HFr,,"June 10, 2022 1:46 PM","We're actively looking to fund the following initiatives:

Borrow & Lending
Build a non-custodial borrowing and lending solution on Aurora. https://airtable.com/shrm0FfqwJJ1D0HFr

Decentralized Exchange
Build an easy-to-use DEX on Aurora. https://airtable.com/shrm0FfqwJJ1D0HFr

Stablecoins
Build the next-generation algorithmic stablecoin on Aurora. https://airtable.com/shrm0FfqwJJ1D0HFr

Synthetics and Derivatives
Build the future of decentralized synthetic assets and derivatives on Aurora. https://airtable.com/shrm0FfqwJJ1D0HFr

Reserve Assets
Build a reserve asset with protocol-owned-liquidity. https://airtable.com/shrm0FfqwJJ1D0HFr

NFTs
Grow the creator economy with your NFT project on Aurora. https://airtable.com/shrm0FfqwJJ1D0HFr

Your Idea Here!
Use the fast, low-cost Aurora environment to the next great thing in the world of decentralized blockchains! https://airtable.com/shrm0FfqwJJ1D0HFr",,Aurora,EVM,,Ongoing,"Dapps, Devs, Infrastructure, NFTs, Universal Tools",,https://aurora.dev/grants
Aztec Grants,"Aztec is an open source layer 2 network that aims to bring scalability and privacy to Ethereum. It strives to enable affordable, private crypto payments via zero-knowledge proofs.",https://airtable.com/shrvglCZ24jaH73oe,,"June 10, 2022 1:46 PM","Aztec is a privacy focused L2 network that brings scalable privacy to Ethereum. Our latest product, Aztec Connect, gives developers the tools to offer private trading, lending, borrowing, and earning. Our zero-knowledge rollup and bridge contracts batch transactions together, interact with existing smart contracts on mainnet, and split the gas cost across users in the rollup — resulting in up to 100x gas savings and ironclad privacy.

Our community has been critical to https://ignition.aztecprotocol.com/, https://twitter.com/aztecnetwork/status/1458519218404667393, and https://twitter.com/aztecnetwork/status/1453773884663099392 - and our community will be essential in building the Aztec ecosystem. Since sharing the Aztec Connect Starter a few weeks ago, the community has already started building bridge contracts for protocols including https://github.com/0xinugami/aztec-lido-bridge/blob/master/contracts/LidoBridge.sol, https://github.com/bertmiller/aztec-connect-bridge-contracts, and Compound.
We are launching a grant program to provide contributors with the resources and support needed to go live on mainnet. In this first phase of the grant program, we will support the development of integrations with Aztec Connect - including bridge contracts, tooling, and analytics.

Current focus
Requested bridges
Our rollups interact directly with smart contracts on mainnet through a bridge contract that models an asynchronous token swap.
https://www.notion.so/edbc53bd10ee4ae49ea0bb0756a32bbf support top use cases and will be integrated on zk.money.

Proposed bridges
Proposed bridges may execute on a single dapp or multiple DeFi transactions across dapps. Bridge contracts enable ""recipes,"" which complete multiple steps atomically. Proposed bridges will be considered for zk.money integration.

Tooling and analytics
We are looking to make it simple and delightful to build and interact with Aztec. This includes building developer tooling and dashboards (i.e. detailed metrics about usage on Dune Analytics) to improve the experience.

Grants process

Step 1: Review the https://www.notion.so/edbc53bd10ee4ae49ea0bb0756a32bbf
Aztec identified the critical bridge contracts needed for select dapps. You are also invited to propose a bridge contract that will grow the Aztec ecosystem.

Step 2: Submit your grant application
Our grant application seeks to learn about you and what you're looking to build. You can select a requested bridge contract you'll develop, or submit a proposal.

Step 3: Meet the Aztec team
Within one week of submission, the Aztec team will contact applicants for a screening call to discuss the project plan (timeline, milestones, outcomes) and support needed.

Step 4: Notification and next steps
All applicants will be notified whether their application has been accepted or denied. For proposals, we'll indicate whether the bridge contract would be integrated into http://zk.money/.

Step 5: Ongoing communication
We will establish regular check-ins and expected timeline to launch. Grantees will receive dedicated technical support to get from spec to production.

Step 6: Launch Your Project 🎉
When you're ready to ship, we’ll support your launch onto http://zk.money/ and share your work with the community. We will also offer priority access to our preferred auditor.

Program support and benefits

Office hours: The core team will be available to answer questions and troubleshoot any issues that arise as you are building. We will host weekly office hours on Discord that are open to the public, as well as two hours for individualized office hours per week.

Budget: Requested bridge contracts have a $2,000 bounty, which will be paid out to grantees who successfully deploy. Applicants may also indicate the budget required in the application - this may include compensation for the time spent on building the contract or reimbursement for expenses to deploy a bridge contract.

Exposure: Deployed bridge contracts will be featured on a leaderboard, which will showcase the number of live bridge contracts and their usage. Grant recipients will also be invited to present on Aztec community calls and receive assistance from our team to promote the integration to other relevant communities.

Audits: We are partnering with an auditor to review community written bridge contracts. Aztec will pre-fund these audit costs and the community will be involved in prioritizing which bridge contracts will be audited.",,Aztec,EVM,,Ongoing,"Devs, Infrastructure, Researchers, Universal Tools",,https://aztecnetwork.notion.site/Aztec-Grants-19896948e74b4024a458cdeddbe9574f
Balancer,Balancer is a software running on Ethereum that seeks to incentivize a distributed network of computers to operate an exchange where users can buy and sell any cryptocurrency.,https://balancer.community/balancer-community-grants,,"June 10, 2022 1:46 PM","The BAL Grant program is one way that BalancerDAO promotes the development of the Balancer Protocol and Ecosystem. 

The BAL Grant program provides support and funding ($1K - $75K) to projects committed to supporting Balancer Protocol in achieving its mission to become the number one source for Decentralized exchange trades. 

This program is a good fit for individuals and groups that want to run a project that builds technology or resources on the Balancer Protocol. To get some inspiration for possible grants, check our https://balancer.community/balancer-community-grants/rfps-challenges-opportunities!",,"Balancer, Ethereum",EVM,$1k-$75k,Ongoing,"Community Building/Content Creation, Dapps, Devs, Events/Hackathons, Researchers, Universal Tools",,https://balancer.community/balancer-community-grants
Binance x Fellowship grants,"Binance Smart Chain (BSC) is a blockchain network built for running smart contract-based applications.

BSC runs in parallel with Binance's native Binance Chain (BC), which allows users to get the best of both worlds: the high transaction capacity of BC and the smart contract functionality of BSC.",https://forms.monday.com/forms/e4ad18734e3c7153b166b4374dd9a7e7,,"June 10, 2022 1:46 PM","What is the Binance X Fellowship?

We started this program to support talented developers and researchers in creating free and open-source software that would enable new innovations and businesses in the crypto economy.By joining this program, you have the freedom to work on open-source projects that have meaningful impact but may not necessarily have stand-alone commercial viability in the near-term.As a Binance X Fellow, you will have access to our wide network of founders, researchers, portfolio companies and developers for mentorship and advice.”

Program Details

• Fellowship participants will receive a monthly stipend.
• Project will receive support and guidance on defining a roadmap and fostering a community of users and contributors.
• Open to applicants globally and admitted on a rolling basis.",,"All, BSC, NA",EVM,,Ongoing,"Community Building/Content Creation, Dapps, Devs, Infrastructure, Public Goods, Researchers, Universal Tools",,https://binancex.dev/fellowship.html
Celo,"Celo is a platform acting as a global payment infrastructure for cryptocurrencies that aims to target mobile users. To this end, Celo's goal is for financial activity to be accessible to anyone globally thanks to its ability for payments to be sent to and from any phone number in the world.",https://share.hsforms.com/1WWFukIl9TGa19lf5ocAaQQ53n4j,,"June 10, 2022 1:46 PM","Purpose
The Celo Foundation (“Foundation”) Grants Program is an open program that supports projects that are committed to Celo’s mission of building a financial system that creates the conditions for prosperity for all. The Foundation believes that by working together we can collectively help the world prosper.

Programs
Do you have an interesting, viable product or offering for the Celo community? Are you seeking mentorship and capital? The Celo Foundation Grant program was made to help individuals building on Celo launch their product or service. The Foundation understands that not all projects are ready to launch on Celo.

Believes in a future where everyone can prosper
The Celo Foundation is a non-profit organization based in the US that supports the growth and development of the open-source Celo Platform. Guided by the Celo community tenets, the Foundation contributes to education, technical research, environmental health, community engagement, and ecosystem outreach—activities that support and encourage an inclusive financial system that creates the conditions for prosperity for everyone.",,Celo,EVM,,Ongoing,"Community Building/Content Creation, Dapps, Devs, Incubators/Accelerators, Infrastructure, Researchers, Universal Tools",,https://celo.org/experience/grants#introduction
CENNZ Grants,"CENNZnet is a highly optimised, EVM compatible L2 blockchain.
We are a New Zealand based public blockchain, connected to Ethereum via a sophisticated bridge protocol and compatible EVM module. We offer a L2 or sidechain solution so that users can harness the tools of Ethereum alongside the optimised and faster experience of CENNZnet.

We are empowering projects pushing the boundaries of what’s possible with decentralised tech. Our platform is highly secure, fast-paced and adapted to enable open and inclusive metaverse projects, P2E gaming, advanced NFT technology and bleeding-edge ideas.

We pride ourselves on providing a streamlined and user-friendly experience for devs. Using CENNZnet developers can apply blockchain using just javascript APIs – no smart contracts required. We cover 80% of use cases as plug n’ play runtime modules that developers can simply opt-in and out of.

Our ecosystem currently serves over 1m active users. And we are just getting started! Join our journey and let’s grow together.",https://docs.google.com/forms/d/e/1FAIpQLSdeW4HreYZJLDOoN-tdD4F3KkYR_KwNCkd5hhdylXbkqjNCuA/viewform,,"June 10, 2022 1:46 PM","GRANTS PROGRAM BENEFITS

FUNDING
Secure funding to get your project up and running on CENNZnet:

DEVELOPER GRANTS

Round 1 – Shape your idea into an MVP.
Up to NZD $15,000

Round 2 – Grow your MVP into a viable business.
Up to NZD $85,000

TECH GUIDANCE
Our own specialist blockchain dev team is always there to give you advice and answer your questions.

MARKETING SUPPORT
Showcase your project to the CENNZnet community and get invited to speak at our events.

ACCESS TO OUR ECOSYSTEM
Be a part of an active ecosystem of ventures, mentors and VCs.

PLATFORM FEES COVERED
We will provide enough CPAY to cover your gas fees for 3 months.

GRANTS FOCUS AREAS

PUT THE NFT INTO YOUR APP
NFTs offer so much un-tapped potential for apps. Whether it’s adding some tradeable art, tokenising in-app assets or making a full scale Metaverse – the possibilities really are endless. Using the CENNZnet NFT runtime module you can incorporate NFTs without the need for smart contracts, so you can get your ideas up and running fast.Show us your NFT focused app idea and qualify for a grant to get it up and running on CENNZnet.

COME TO THE CENNZ-SIDE
High gas fees, lack of free parachains or struggling with complicated smart contracts? It’s hard to make a success of your App on traditional platforms. Give your App a new lease of life on the next generation of blockchain and get the best of both worlds. Integrate with our Carbon negative PoS CENNZnet platform and enjoy low predictable gas fees, fast transaction speeds and out of the box runtime modules to give your App all the edges.Even better – we’ll give you a grant to get it up and running!",,CENNZ,EVM,"< 15,000$",Ongoing,"Dapps, Devs, NFTs",,https://cennz.net/grants/
